5.3986 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
147582.9983 	EXP 	target
147584.4064 	EXP 	baseLine
147585.8134 	EXP 	baseLine
147587.2191 	EXP 	baseLine
147588.6242 	EXP 	baseLine
147590.0276 	EXP 	baseLine
147591.4350 	EXP 	baseLine
147592.8380 	EXP 	baseLine
147594.2420 	EXP 	distractor
147595.6500 	EXP 	baseLine
147597.0553 	EXP 	baseLine
147598.4636 	EXP 	baseLine
147599.8689 	EXP 	baseLine
147601.2731 	EXP 	baseLine
147602.6782 	EXP 	baseLine
147604.0840 	EXP 	baseLine
147605.4870 	EXP 	baseLine
147606.8916 	EXP 	distractor
147608.2976 	EXP 	baseLine
147609.7007 	EXP 	baseLine
147611.1057 	EXP 	baseLine
147612.5103 	EXP 	distractor
147613.9153 	EXP 	baseLine
147615.3208 	EXP 	distractor
147616.7248 	EXP 	distractor
147618.1297 	EXP 	baseLine
147619.5334 	EXP 	baseLine
147620.9392 	EXP 	distractor
147622.3501 	EXP 	baseLine
147623.7560 	EXP 	target
147625.1619 	EXP 	baseLine
147626.5657 	EXP 	baseLine
147627.9689 	EXP 	baseLine
147629.3757 	EXP 	target
147630.7846 	EXP 	baseLine
147632.1876 	EXP 	distractor
147633.5943 	EXP 	baseLine
147635.0011 	EXP 	baseLine
147636.4079 	EXP 	baseLine
147637.8121 	EXP 	distractor
147639.2167 	EXP 	baseLine
147640.6231 	EXP 	distractor
147642.0287 	EXP 	baseLine
147643.4314 	EXP 	baseLine
147644.8352 	EXP 	baseLine
147646.2413 	EXP 	baseLine
147647.6503 	EXP 	baseLine
147649.0544 	EXP 	baseLine
147650.4609 	EXP 	baseLine
147651.8654 	EXP 	baseLine
147653.2695 	EXP 	baseLine
147654.6768 	EXP 	baseLine
147656.0842 	EXP 	baseLine
147657.4895 	EXP 	baseLine
147658.8924 	EXP 	baseLine
147660.2972 	EXP 	distractor
147661.7017 	EXP 	baseLine
147663.1076 	EXP 	distractor
147664.5122 	EXP 	baseLine
147665.9178 	EXP 	baseLine
147667.3234 	EXP 	target
147668.7273 	EXP 	baseLine
147670.1312 	EXP 	baseLine
147671.5372 	EXP 	distractor
147672.9438 	EXP 	baseLine
147674.3492 	EXP 	baseLine
147682.7233 	DATA 	Keypress: space
147682.7248 	EXP 	startBlock
147682.7332 	EXP 	baseLine
147684.1377 	EXP 	baseLine
147685.5421 	EXP 	baseLine
147686.9476 	EXP 	baseLine
147688.3535 	EXP 	baseLine
147689.7580 	EXP 	baseLine
147691.1614 	EXP 	distractor
147692.5675 	EXP 	distractor
147693.9734 	EXP 	baseLine
147695.3775 	EXP 	baseLine
147696.7818 	EXP 	baseLine
147698.1866 	EXP 	distractor
147699.5932 	EXP 	baseLine
147700.9978 	EXP 	baseLine
147702.4006 	EXP 	distractor
147703.8053 	EXP 	baseLine
147705.2098 	EXP 	baseLine
147706.6142 	EXP 	target
147708.0203 	EXP 	baseLine
147709.4246 	EXP 	target
147710.8303 	EXP 	target
147712.2355 	EXP 	baseLine
147713.6421 	EXP 	baseLine
147715.0460 	EXP 	baseLine
147716.4488 	EXP 	baseLine
147717.8529 	EXP 	baseLine
147719.2573 	EXP 	baseLine
147720.6615 	EXP 	distractor
147722.0661 	EXP 	baseLine
147723.4708 	EXP 	baseLine
147724.8759 	EXP 	baseLine
147726.2800 	EXP 	baseLine
147727.6836 	EXP 	baseLine
147729.0891 	EXP 	distractor
147730.4931 	EXP 	baseLine
147731.8971 	EXP 	baseLine
147733.3029 	EXP 	baseLine
147734.7090 	EXP 	baseLine
147736.1141 	EXP 	baseLine
147737.5197 	EXP 	baseLine
147738.9258 	EXP 	target
147740.3310 	EXP 	baseLine
147741.7391 	EXP 	distractor
147743.1446 	EXP 	baseLine
147744.5512 	EXP 	baseLine
147745.9579 	EXP 	baseLine
147747.3615 	EXP 	baseLine
147748.7661 	EXP 	baseLine
147750.1703 	EXP 	baseLine
147751.5746 	EXP 	baseLine
147752.9804 	EXP 	distractor
147754.3859 	EXP 	baseLine
147755.7890 	EXP 	baseLine
147757.1932 	EXP 	distractor
147758.5967 	EXP 	target
147760.0001 	EXP 	baseLine
147761.4045 	EXP 	baseLine
147762.8160 	EXP 	baseLine
147764.2192 	EXP 	baseLine
147765.6252 	EXP 	target
147767.0327 	EXP 	distractor
147768.4382 	EXP 	target
147769.8458 	EXP 	baseLine
147771.2492 	EXP 	baseLine
147772.6523 	EXP 	distractor
147774.0559 	EXP 	target
147775.4596 	EXP 	target
147776.8679 	EXP 	target
147778.2741 	EXP 	baseLine
147779.6815 	EXP 	baseLine
147781.0856 	EXP 	baseLine
147782.4936 	EXP 	baseLine
147783.8984 	EXP 	baseLine
147785.3012 	EXP 	baseLine
147786.7058 	EXP 	target
147788.1112 	EXP 	distractor
147789.5178 	EXP 	distractor
147790.9219 	EXP 	baseLine
147792.3260 	EXP 	target
147793.7324 	EXP 	baseLine
147795.1379 	EXP 	target
147796.5426 	EXP 	distractor
147797.9474 	EXP 	target
147799.3516 	EXP 	distractor
147800.7540 	EXP 	baseLine
147802.1590 	EXP 	target
147803.5648 	EXP 	baseLine
147804.9701 	EXP 	baseLine
