index,timeStamp,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16
5848,778692.1815205,-179670.296875,-188664.28125,-114986.7578125,-198565.5625,-182613.390625,-193719.4375,-194988.390625,-179721.96875,-195180.53125,-150537.5625,-169265.015625,339739.375,-187188.34375,0.0,0.0,0.0
5849,778692.1815703,-180061.1875,-188707.375,-115687.0859375,-198516.390625,-182663.46875,-193739.375,-194894.34375,-180048.125,-195178.390625,-146825.390625,-169272.171875,340311.5625,-187182.71875,0.0,0.0,0.0
5850,778692.2249315,-179824.4375,-188666.96875,-115400.890625,-198555.640625,-182624.390625,-193719.796875,-194955.046875,-179862.078125,-195235.96875,-152632.828125,-169238.015625,339482.3125,-187130.0625,0.0,0.0,0.0
5851,778692.2249667,-179833.28125,-188691.640625,-115138.6640625,-198565.390625,-182649.25,-193754.390625,-194961.125,-179845.265625,-195162.640625,-147062.3125,-169286.65625,340285.375,-187211.6875,0.0,0.0,0.0
5852,778692.2249741,-180126.1875,-188697.71875,-115921.421875,-198519.609375,-182666.953125,-193738.75,-194886.109375,-180113.21875,-195219.953125,-149731.5625,-169241.328125,339950.4375,-187124.875,0.0,0.0,0.0
5853,778692.2249967,-179691.75,-188670.984375,-114919.4375,-198593.015625,-182640.125,-193749.84375,-195000.109375,-179724.828125,-195190.453125,-150558.84375,-169267.078125,339820.28125,-187182.453125,0.0,0.0,0.0
5854,778692.2250205,-180069.765625,-188707.828125,-115616.6328125,-198533.921875,-182672.5,-193761.640625,-194899.171875,-180042.234375,-195185.71875,-146830.9375,-169268.6875,340393.65625,-187172.25,0.0,0.0,0.0
5855,778692.2453138,-179825.6875,-188673.484375,-115341.078125,-198563.78125,-182634.9375,-193740.09375,-194959.78125,-179866.359375,-195239.71875,-152644.890625,-169230.6875,339568.15625,-187119.421875,0.0,0.0,0.0
5856,778692.2454057,-179840.171875,-188703.34375,-115068.9296875,-198575.484375,-182655.78125,-193771.921875,-194968.1875,-179847.765625,-195165.6875,-147083.59375,-169285.5,340368.0625,-187211.328125,0.0,0.0,0.0
5857,778692.2454261,-180127.609375,-188701.03125,-115840.7734375,-198526.234375,-182669.0,-193745.71875,-194889.859375,-180117.421875,-195223.4375,-149732.90625,-169239.8125,340029.03125,-187125.3125,0.0,0.0,0.0
5858,778692.2454484,-179680.671875,-188671.515625,-114821.5390625,-198586.21875,-182630.734375,-193747.953125,-194996.796875,-179729.296875,-195185.796875,-150576.015625,-169254.03125,339907.8125,-187181.828125,0.0,0.0,0.0
5859,778692.2454627,-180070.578125,-188713.1875,-115503.3515625,-198531.5,-182678.484375,-193757.171875,-194899.25,-180049.375,-195185.09375,-146836.5625,-169266.359375,340479.5625,-187178.609375,0.0,0.0,0.0
5860,778692.3020909,-179835.78125,-188677.78125,-115222.796875,-198568.15625,-182648.703125,-193738.125,-194963.09375,-179876.5625,-195241.140625,-152644.984375,-169236.234375,339655.5,-187128.0,0.0,0.0,0.0
5861,778692.302244,-179841.328125,-188703.4375,-114931.0625,-198570.3125,-182664.265625,-193763.078125,-194969.265625,-179853.84375,-195172.484375,-147097.1875,-169297.828125,340451.84375,-187221.703125,0.0,0.0,0.0
5862,778692.3022769,-180123.765625,-188705.5,-115697.7265625,-198516.484375,-182667.484375,-193740.453125,-194886.5625,-180113.9375,-195223.53125,-149722.890625,-169244.1875,340123.375,-187127.015625,0.0,0.0,0.0
5863,778692.302379,-179681.46875,-188675.8125,-114677.3203125,-198582.546875,-182630.109375,-193739.921875,-194998.40625,-179738.953125,-195187.234375,-150598.0,-169264.390625,339988.625,-187179.234375,0.0,0.0,0.0
5864,778692.3024077,-180069.9375,-188710.5,-115349.84375,-198524.53125,-182670.703125,-193756.359375,-194901.578125,-180051.96875,-195188.578125,-146839.78125,-169274.59375,340562.90625,-187181.46875,0.0,0.0,0.0
5865,778692.3487182,-179823.265625,-188663.75,-115055.875,-198551.703125,-182622.609375,-193725.703125,-194953.53125,-179860.015625,-195243.46875,-152646.765625,-169234.4375,339739.71875,-187125.234375,0.0,0.0,0.0
5866,778692.3487679,-179827.734375,-188692.359375,-114763.515625,-198559.390625,-182647.1875,-193755.921875,-194964.4375,-179835.703125,-195160.40625,-147099.609375,-169285.5,340543.125,-187211.234375,0.0,0.0,0.0
5867,778692.3487778,-180116.890625,-188694.234375,-115547.8828125,-198505.484375,-182646.203125,-193731.78125,-194879.3125,-180099.8125,-195215.21875,-149708.765625,-169240.078125,340211.625,-187125.671875,0.0,0.0,0.0
5868,778692.3487869,-179685.140625,-188671.25,-114558.9453125,-198580.671875,-182621.4375,-193747.25,-194998.859375,-179729.75,-195183.75,-150609.265625,-169261.625,340072.40625,-187182.53125,0.0,0.0,0.0
5869,778692.3487976,-180056.0,-188703.53125,-115237.7265625,-198515.140625,-182656.046875,-193750.90625,-194896.03125,-180032.9375,-195172.390625,-146824.140625,-169265.375,340654.875,-187174.9375,0.0,0.0,0.0
5870,778692.3765203,-179828.546875,-188669.5625,-114972.90625,-198549.5625,-182616.609375,-193727.9375,-194955.578125,-179853.140625,-195232.109375,-152637.734375,-169234.171875,339834.40625,-187121.46875,0.0,0.0,0.0
5871,778692.3766451,-179825.59375,-188697.09375,-114714.7890625,-198555.1875,-182639.046875,-193761.8125,-194964.703125,-179831.3125,-195159.875,-147097.71875,-169285.578125,340634.40625,-187206.59375,0.0,0.0,0.0
5872,778692.3766565,-180124.296875,-188710.328125,-115525.078125,-198515.59375,-182654.078125,-193748.046875,-194892.375,-180110.890625,-195211.109375,-149693.03125,-169239.0,340303.15625,-187120.40625,0.0,0.0,0.0
5873,778692.3766686,-179694.25,-188678.9375,-114527.1171875,-198585.5,-182618.578125,-193752.25,-195005.46875,-179733.0625,-195193.671875,-150631.09375,-169273.15625,340150.46875,-187195.5,0.0,0.0,0.0
5874,778692.376677,-180063.59375,-188708.890625,-115207.59375,-198515.953125,-182650.140625,-193750.90625,-194897.46875,-180041.15625,-195172.03125,-146822.4375,-169268.6875,340738.21875,-187181.640625,0.0,0.0,0.0
5875,778692.4303312,-179830.421875,-188675.8125,-114925.4296875,-198543.125,-182614.734375,-193731.78125,-194958.171875,-179867.4375,-195226.84375,-152645.703125,-169230.328125,339908.96875,-187132.5625,0.0,0.0,0.0
5876,778692.4305421,-179814.953125,-188690.921875,-114621.984375,-198539.28125,-182626.359375,-193749.921875,-194956.46875,-179837.046875,-195151.203125,-147106.21875,-169279.953125,340711.75,-187218.65625,0.0,0.0,0.0
5877,778692.4305812,-180106.421875,-188692.71875,-115407.2421875,-198491.890625,-182636.640625,-193729.453125,-194868.671875,-180104.28125,-195199.125,-149666.75,-169229.796875,340401.0625,-187129.703125,0.0,0.0,0.0
5878,778692.4306016,-179662.15625,-188665.53125,-114412.140625,-198561.09375,-182603.828125,-193728.109375,-194980.078125,-179718.21875,-195169.4375,-150623.484375,-169255.09375,340253.1875,-187175.921875,0.0,0.0,0.0
5879,778692.4306213,-180044.640625,-188707.90625,-115100.7578125,-198502.625,-182638.703125,-193742.59375,-194885.484375,-180032.21875,-195159.609375,-146795.625,-169254.109375,340843.0,-187163.765625,0.0,0.0,0.0
5880,778692.4638785,-179808.96875,-188664.546875,-114827.9765625,-198533.5625,-182606.0625,-193709.96875,-194946.015625,-179844.453125,-195220.9375,-152625.40625,-169226.484375,340016.875,-187118.4375,0.0,0.0,0.0
5881,778692.4640485,-179814.15625,-188685.015625,-114543.9296875,-198540.625,-182633.875,-193744.296875,-194955.3125,-179819.96875,-195141.8125,-147102.546875,-169274.765625,340809.21875,-187206.234375,0.0,0.0,0.0
5882,778692.4641173,-180095.15625,-188680.8125,-115303.171875,-198486.890625,-182642.71875,-193716.9375,-194867.34375,-180090.15625,-195195.90625,-149653.78125,-169226.125,340488.78125,-187121.921875,0.0,0.0,0.0
5883,778692.4641452,-179663.234375,-188655.515625,-114240.9296875,-198562.609375,-182609.375,-193727.84375,-194986.0625,-179713.125,-195165.953125,-150631.71875,-169250.265625,340339.90625,-187179.859375,0.0,0.0,0.0
5884,778692.4641698,-180047.234375,-188689.5,-114879.0234375,-198494.84375,-182639.953125,-193736.34375,-194883.078125,-180021.21875,-195154.953125,-146786.140625,-169255.28125,340926.40625,-187172.609375,0.0,0.0,0.0
